freq,voltage,phase
1.00000000000000e+04,-3.89973652855056e-02,-5.24024626510752e+00
1.00230523807790e+04,-3.91431760776257e-02,-5.25227177456047e+00
1.00461579027840e+04,-3.92896550260701e-02,-5.26432463006390e+00
1.00693166885180e+04,-3.94368051701198e-02,-5.27640489207869e+00
1.00925288607668e+04,-3.95846295626803e-02,-5.28851262118756e+00
1.01157945425990e+04,-3.97331312703455e-02,-5.30064787809515e+00
1.01391138573668e+04,-3.98823133734257e-02,-5.31281072362824e+00
1.01624869287070e+04,-4.00321789660327e-02,-5.32500121873590e+00
1.01859138805412e+04,-4.01827311561455e-02,-5.33721942448962e+00
1.02093948370768e+04,-4.03339730656527e-02,-5.34946540208351e+00
1.02329299228075e+04,-4.04859078304331e-02,-5.36173921283444e+00
1.02565192625141e+04,-4.06385386003674e-02,-5.37404091818220e+00
1.02801629812647e+04,-4.07918685394817e-02,-5.38637057968967e+00
1.03038612044162e+04,-4.09459008259317e-02,-5.39872825904295e+00
1.03276140576140e+04,-4.11006386521019e-02,-5.41111401805158e+00
1.03514216667934e+04,-4.12560852246637e-02,-5.42352791864861e+00
1.03752841581801e+04,-4.14122437646195e-02,-5.43597002289084e+00
1.03992016582906e+04,-4.15691175074007e-02,-5.44844039295892e+00
1.04231742939330e+04,-4.17267097028849e-02,-5.46093909115754e+00
1.04472021922080e+04,-4.18850236154869e-02,-5.47346617991558e+00
1.04712854805090e+04,-4.20440625242333e-02,-5.48602172178623e+00
1.04954242865232e+04,-4.22038297227889e-02,-5.49860577944721e+00
1.05196187382322e+04,-4.23643285195366e-02,-5.51121841570088e+00
1.05438689639126e+04,-4.25255622376603e-02,-5.52385969347437e+00
1.05681750921366e+04,-4.26875342151799e-02,-5.53652967581981e+00
1.05925372517729e+04,-4.28502478050237e-02,-5.54922842591443e+00
1.06169555719872e+04,-4.30137063751086e-02,-5.56195600706069e+00
1.06414301822431e+04,-4.31779133083924e-02,-5.57471248268650e+00
1.06659612123026e+04,-4.33428720029231e-02,-5.58749791634532e+00
1.06905487922266e+04,-4.35085858719243e-02,-5.60031237171633e+00
1.07151930523760e+04,-4.36750583438813e-02,-5.61315591260455e+00
1.07398941234124e+04,-4.38422928625392e-02,-5.62602860294105e+00
1.07646521362983e+04,-4.40102928870389e-02,-5.63893050678305e+00
1.07894672222983e+04,-4.41790618919529e-02,-5.65186168831407e+00
1.08143395129794e+04,-4.43486033673446e-02,-5.66482221184411e+00
1.08392691402120e+04,-4.45189208188579e-02,-5.67781214180977e+00
1.08642562361706e+04,-4.46900177677431e-02,-5.69083154277438e+00
1.08893009333343e+04,-4.48618977509907e-02,-5.70388047942821e+00
1.09144033644875e+04,-4.50345643213184e-02,-5.71695901658855e+00
1.09395636627209e+04,-4.52080210473215e-02,-5.73006721919988e+00
1.09647819614318e+04,-4.53822715134687e-02,-5.74320515233402e+00
1.09900583943252e+04,-4.55573193202128e-02,-5.75637288119026e+00
1.10153930954141e+04,-4.57331680840477e-02,-5.76957047109552e+00
1.10407861990207e+04,-4.59098214375697e-02,-5.78279798750447e+00
1.10662378397766e+04,-4.60872830295657e-02,-5.79605549599969e+00
1.10917481526240e+04,-4.62655565250620e-02,-5.80934306229181e+00
1.11173172728159e+04,-4.64446456054135e-02,-5.82266075221963e+00
1.11429453359173e+04,-4.66245539683390e-02,-5.83600863175027e+00
1.11686324778056e+04,-4.68052853280482e-02,-5.84938676697935e+00
1.11943788346715e+04,-4.69868434152503e-02,-5.86279522413103e+00
1.12201845430196e+04,-4.71692319772720e-02,-5.87623406955826e+00
1.12460497396692e+04,-4.73524547781043e-02,-5.88970336974284e+00
1.12719745617551e+04,-4.75365155984708e-02,-5.90320319129558e+00
1.12979591467279e+04,-4.77214182359176e-02,-5.91673360095644e+00
1.13240036323555e+04,-4.79071665048854e-02,-5.93029466559465e+00
1.13501081567231e+04,-4.80937642367442e-02,-5.94388645220886e+00
1.13762728582343e+04,-4.82812152799173e-02,-5.95750902792726e+00
1.14024978756117e+04,-4.84695234999133e-02,-5.97116246000774e+00
1.14287833478977e+04,-4.86586927794393e-02,-5.98484681583796e+00
1.14551294144553e+04,-4.88487270184147e-02,-5.99856216293555e+00
1.14815362149688e+04,-4.90396301341244e-02,-6.01230856894818e+00
1.15080038894443e+04,-4.92314060611975e-02,-6.02608610165375e+00
1.15345325782109e+04,-4.94240587517723e-02,-6.03989482896047e+00
1.15611224219210e+04,-4.96175921755199e-02,-6.05373481890699e+00
1.15877735615512e+04,-4.98120103197184e-02,-6.06760613966257e+00
1.16144861384034e+04,-5.00073171893666e-02,-6.08150885952713e+00
1.16412602941049e+04,-5.02035168071959e-02,-6.09544304693146e+00
1.16680961706096e+04,-5.04006132137977e-02,-6.10940877043729e+00
1.16949939101987e+04,-5.05986104677058e-02,-6.12340609873742e+00
1.17219536554813e+04,-5.07975126454099e-02,-6.13743510065584e+00
1.17489755493953e+04,-5.09973238415001e-02,-6.15149584514788e+00
1.17760597352080e+04,-5.11980481687035e-02,-6.16558840130030e+00
1.18032063565173e+04,-5.13996897579855e-02,-6.17971283833140e+00
1.18304155572516e+04,-5.16022527585912e-02,-6.19386922559120e+00
1.18576874816716e+04,-5.18057413381758e-02,-6.20805763256147e+00
1.18850222743701e+04,-5.20101596828225e-02,-6.22227812885591e+00
1.19124200802737e+04,-5.22155119971837e-02,-6.23653078422025e+00
1.19398810446427e+04,-5.24218025045055e-02,-6.25081566853235e+00
1.19674053130724e+04,-5.26290354467359e-02,-6.26513285180234e+00
1.19949930314937e+04,-5.28372150845958e-02,-6.27948240417270e+00
1.20226443461741e+04,-5.30463456976460e-02,-6.29386439591840e+00
1.20503594037179e+04,-5.32564315844044e-02,-6.30827889744700e+00
1.20781383510677e+04,-5.34674770623854e-02,-6.32272597929876e+00
1.21059813355048e+04,-5.36794864681899e-02,-6.33720571214675e+00
1.21338885046497e+04,-5.38924641576028e-02,-6.35171816679694e+00
1.21618600064636e+04,-5.41064145056681e-02,-6.36626341418834e+00
1.21898959892486e+04,-5.43213419067513e-02,-6.38084152539309e+00
1.22179966016487e+04,-5.45372507746322e-02,-6.39545257161654e+00
1.22461619926504e+04,-5.47541455426147e-02,-6.41009662419741e+00
1.22743923115840e+04,-5.49720306635463e-02,-6.42477375460782e+00
1.23026877081238e+04,-5.51909106099706e-02,-6.43948403445347e+00
1.23310483322890e+04,-5.54107898741538e-02,-6.45422753547368e+00
1.23594743344450e+04,-5.56316729682162e-02,-6.46900432954150e+00
1.23879658653036e+04,-5.58535644241552e-02,-6.48381448866383e+00
1.24165230759240e+04,-5.60764687939873e-02,-6.49865808498151e+00
1.24451461177138e+04,-5.63003906498052e-02,-6.51353519076939e+00
1.24738351424294e+04,-5.65253345838653e-02,-6.52844587843646e+00
1.25025903021771e+04,-5.67513052086683e-02,-6.54339022052593e+00
1.25314117494141e+04,-5.69783071570632e-02,-6.55836828971530e+00
1.25602996369487e+04,-5.72063450822879e-02,-6.57338015881651e+00
1.25892541179416e+04,-5.74354236581097e-02,-6.58842590077594e+00
1.26182753459066e+04,-5.76655475788931e-02,-6.60350558867458e+00
1.26473634747114e+04,-5.78967215596359e-02,-6.61861929572810e+00
1.26765186585784e+04,-5.81289503361507e-02,-6.63376709528688e+00
1.27057410520853e+04,-5.83622386650693e-02,-6.64894906083618e+00
1.27350308101665e+04,-5.85965913239598e-02,-6.66416526599616e+00
1.27643880881134e+04,-5.88320131114364e-02,-6.67941578452199e+00
1.27938130415752e+04,-5.90685088471977e-02,-6.69470069030392e+00
1.28233058265601e+04,-5.93060833721554e-02,-6.71002005736737e+00
1.28528665994361e+04,-5.95447415485251e-02,-6.72537395987301e+00
1.28824955169313e+04,-5.97844882598668e-02,-6.74076247211681e+00
1.29121927361353e+04,-6.00253284112303e-02,-6.75618566853016e+00
1.29419584144998e+04,-6.02672669292128e-02,-6.77164362367991e+00
1.29717927098395e+04,-6.05103087620607e-02,-6.78713641226846e+00
1.30016957803328e+04,-6.07544588797491e-02,-6.80266410913381e+00
1.30316677845229e+04,-6.09997222741033e-02,-6.81822678924967e+00
1.30617088813183e+04,-6.12461039588212e-02,-6.83382452772549e+00
1.30918192299940e+04,-6.14936089696387e-02,-6.84945739980655e+00
1.31219989901920e+04,-6.17422423643941e-02,-6.86512548087401e+00
1.31522483219223e+04,-6.19920092231039e-02,-6.88082884644501e+00
1.31825673855640e+04,-6.22429146480669e-02,-6.89656757217268e+00
1.32129563418657e+04,-6.24949637639738e-02,-6.91234173384624e+00
1.32434153519466e+04,-6.27481617179450e-02,-6.92815140739106e+00
1.32739445772973e+04,-6.30025136797045e-02,-6.94399666886869e+00
1.33045441797808e+04,-6.32580248416123e-02,-6.95987759447696e+00
1.33352143216332e+04,-6.35147004187703e-02,-6.97579426055000e+00
1.33659551654643e+04,-6.37725456491472e-02,-6.99174674355830e+00
1.33967668742593e+04,-6.40315657936019e-02,-7.00773512010879e+00
1.34276496113785e+04,-6.42917661360664e-02,-7.02375946694487e+00
1.34586035405594e+04,-6.45531519835975e-02,-7.03981986094643e+00
1.34896288259164e+04,-6.48157286664376e-02,-7.05591637912998e+00
1.35207256319427e+04,-6.50795015381831e-02,-7.07204909864860e+00
1.35518941235103e+04,-6.53444759758323e-02,-7.08821809679207e+00
1.35831344658714e+04,-6.56106573798878e-02,-7.10442345098686e+00
1.36144468246594e+04,-6.58780511744546e-02,-7.12066523879618e+00
1.36458313658891e+04,-6.61466628073630e-02,-7.13694353792003e+00
1.36772882559584e+04,-6.64164977502187e-02,-7.15325842619526e+00
1.37088176616484e+04,-6.66875614985471e-02,-7.16960998159556e+00
1.37404197501251e+04,-6.69598595718589e-02,-7.18599828223152e+00
1.37720946889394e+04,-6.72333975137600e-02,-7.20242340635066e+00
1.38038426460287e+04,-6.75081808920599e-02,-7.21888543233749e+00
1.38356637897177e+04,-6.77842152988488e-02,-7.23538443871348e+00
1.38675582887188e+04,-6.80615063506208e-02,-7.25192050413715e+00
1.38995263121334e+04,-6.83400596883616e-02,-7.26849370740405e+00
1.39315680294529e+04,-6.86198809776374e-02,-7.28510412744682e+00
1.39636836105593e+04,-6.89009759087266e-02,-7.30175184333517e+00
1.39958732257261e+04,-6.91833501966877e-02,-7.31843693427598e+00
1.40281370456195e+04,-6.94670095814949e-02,-7.33515947961321e+00
1.40604752412990e+04,-6.97519598280888e-02,-7.35191955882802e+00
1.40928879842186e+04,-7.00382067265319e-02,-7.36871725153872e+00
1.41253754462274e+04,-7.03257560920756e-02,-7.38555263750081e+00
1.41579377995707e+04,-7.06146137653120e-02,-7.40242579660698e+00
1.41905752168908e+04,-7.09047856121849e-02,-7.41933680888714e+00
1.42232878712281e+04,-7.11962775241871e-02,-7.43628575450843e+00
1.42560759360218e+04,-7.14890954184125e-02,-7.45327271377517e+00
1.42889395851109e+04,-7.17832452376811e-02,-7.47029776712895e+00
1.43218789927353e+04,-7.20787329506300e-02,-7.48736099514856e+00
1.43548943335364e+04,-7.23755645518203e-02,-7.50446247855004e+00
1.43879857825583e+04,-7.26737460618610e-02,-7.52160229818666e+00
1.44211535152486e+04,-7.29732835274913e-02,-7.53878053504888e+00
1.44543977074592e+04,-7.32741830216821e-02,-7.55599727026443e+00
1.44877185354475e+04,-7.35764506437858e-02,-7.57325258509822e+00
1.45211161758773e+04,-7.38800925195875e-02,-7.59054656095238e+00
1.45545908058195e+04,-7.41851148014325e-02,-7.60787927936621e+00
1.45881426027534e+04,-7.44915236683695e-02,-7.62525082201619e+00
1.46217717445671e+04,-7.47993253261901e-02,-7.64266127071600e+00
1.46554784095590e+04,-7.51085260075957e-02,-7.66011070741642e+00
1.46892627764385e+04,-7.54191319722773e-02,-7.67759921420538e+00
1.47231250243271e+04,-7.57311495070330e-02,-7.69512687330788e+00
1.47570653327588e+04,-7.60445849258721e-02,-7.71269376708603e+00
1.47910838816819e+04,-7.63594445701198e-02,-7.73029997803898e+00
1.48251808514594e+04,-7.66757348085584e-02,-7.74794558880291e+00
1.48593564228699e+04,-7.69934620374854e-02,-7.76563068215096e+00
1.48936107771090e+04,-7.73126326808695e-02,-7.78335534099326e+00
1.49279440957898e+04,-7.76332531904325e-02,-7.80111964837685e+00
1.49623565609442e+04,-7.79553300457985e-02,-7.81892368748566e+00
1.49968483550236e+04,-7.82788697545451e-02,-7.83676754164046e+00
1.50314196609001e+04,-7.86038788523598e-02,-7.85465129429883e+00
1.50660706618673e+04,-7.89303639031720e-02,-7.87257502905509e+00
1.51008015416413e+04,-7.92583314991802e-02,-7.89053882964030e+00
1.51356124843619e+04,-7.95877882610860e-02,-7.90854277992214e+00
1.51705036745932e+04,-7.99187408381010e-02,-7.92658696390493e+00
1.52054752973248e+04,-8.02511959081042e-02,-7.94467146572956e+00
1.52405275379728e+04,-8.05851601777731e-02,-7.96279636967338e+00
1.52756605823806e+04,-8.09206403826693e-02,-7.98096176015020e+00
1.53108746168201e+04,-8.12576432873601e-02,-7.99916772171022e+00
1.53461698279928e+04,-8.15961756855529e-02,-8.01741433903993e+00
1.53815464030302e+04,-8.19362444001774e-02,-8.03570169696209e+00
1.54170045294954e+04,-8.22778562835368e-02,-8.05402988043563e+00
1.54525443953840e+04,-8.26210182173903e-02,-8.07239897455560e+00
1.54881661891247e+04,-8.29657371131106e-02,-8.09080906455306e+00
1.55238700995807e+04,-8.33120199117586e-02,-8.10926023579505e+00
1.55596563160506e+04,-8.36598735842337e-02,-8.12775257378449e+00
1.55955250282694e+04,-8.40093051313634e-02,-8.14628616416008e+00
1.56314764264094e+04,-8.43603215840548e-02,-8.16486109269626e+00
1.56675107010813e+04,-8.47129300033795e-02,-8.18347744530306e+00
1.57036280433354e+04,-8.50671374807248e-02,-8.20213530802608e+00
1.57398286446620e+04,-8.54229511378809e-02,-8.22083476704635e+00
1.57761126969933e+04,-8.57803781271803e-02,-8.23957590868024e+00
1.58124803927037e+04,-8.61394256316343e-02,-8.25835881937939e+00
1.58489319246110e+04,-8.65001008650046e-02,-8.27718358573060e+00
1.58854674859776e+04,-8.68624110719714e-02,-8.29605029445567e+00
1.59220872705115e+04,-8.72263635282295e-02,-8.31495903241141e+00
1.59587914723672e+04,-8.75919655406234e-02,-8.33390988658940e+00
1.59955802861465e+04,-8.79592244472599e-02,-8.35290294411598e+00
1.60324539069002e+04,-8.83281476176423e-02,-8.37193829225208e+00
1.60694125301286e+04,-8.86987424527668e-02,-8.39101601839315e+00
1.61064563517825e+04,-8.90710163852833e-02,-8.41013621006896e+00
1.61435855682647e+04,-8.94449768795831e-02,-8.42929895494357e+00
1.61808003764305e+04,-8.98206314319570e-02,-8.44850434081513e+00
